index,time,s_in,I_t,u_t,v_t,s_out
0,1,0,0.0,-13.0,-68.0,0.0
1,2,0,0.0,-13.012,-70.03999999999999,0.0
2,3,0,0.0,-13.031920000000001,-71.00393599999998,0.0
3,4,0,0.0,-13.055297344000001,-71.32933890031613,0.0
4,5,0,0.0,-13.079508752721265,-71.40575253965072,0.0
5,6,0,0.0,-13.103541587825443,-71.40374665502965,0.0
6,7,0,0.0,-13.127085742689053,-71.37913688732611,0.0
7,8,0,0.0,-13.150060575384575,-71.34848827008209,0.0
8,9,0,0.0,-13.172453316957212,-71.3165979080663,0.0
9,10,0,0.0,-13.194270642250332,-71.28484864420828,0.0
10,11,0,0.0,-13.215524623982159,-71.25363537389204,0.0
11,12,0,0.0,-13.236228672998084,-71.22306545954773,0.0
12,13,0,0.0,-13.256396361376314,-71.19316194608746,0.0
13,14,0,0.0,-13.276041081933139,-71.16392299987501,0.0
14,15,0,0.0,-13.295175952293976,-71.13533944803133,0.0
15,16,0,0.0,-13.313813791040221,-71.10740000042833,0.0
16,17,0,0.0,-13.331967115221131,-71.08009281869317,0.0
17,18,0,0.0,-13.34964814419148,-71.05340599237643,0.0
18,19,0,0.0,-13.366868805277157,-71.0273276853681,0.0
19,20,0,0.0,-13.383640739913087,-71.0018461819451,0.0
20,21,0,0.0,-13.399975309842606,-70.97694990197385,0.0
21,22,0,0.0,-13.415883603253649,-70.95262740650827,0.0
22,23,0,0.0,-13.431376440814608,-70.92886740032442,0.0
23,24,0,0.0,-13.446464381599613,-70.90565873341971,0.0
24,25,0,0.0,-13.4611577289013,-70.8829904021115,0.0
25,26,0,0.0,-13.47546653593172,-70.86085154993445,0.0
26,27,0,0.0,-13.489400611412822,-70.8392314684011,0.0
27,28,1,0.0,-13.50296952505817,-70.8181195976454,0.0
28,29,0,8.187307530779819,-13.516182612947588,-62.61019799617811,0.0
29,30,0,7.4081822068171785,-13.49629975267335,-57.935347432478906,0.0
30,31,0,6.703200460356394,-13.4581151473498,-53.15240509696209,0.0
31,32,0,6.065306597126334,-13.401562464790652,-46.38388213363393,0.0
32,33,0,5.488116360940264,-13.319066744029374,-33.35503310459885,0.0
33,34,0,4.965853037914095,-13.186105541567182,2.657050490705778,0.0
34,35,0,4.493289641172216,-12.911755228773014,173.90409481938048,1.0
35,36,1,4.065696597405991,-5.073520124197554,-72.022548173821,0.0
36,37,0,11.86610194249424,-5.260139914408887,-67.70576915821954,0.0
37,38,0,10.736893043797975,-5.425760192753588,-66.87473489886588,0.0
38,39,0,9.715142579478416,-5.584743928493979,-67.21829990921967,0.0
39,40,0,8.79062452746646,-5.741922249560978,-68.20243729192556,0.0
40,41,0,7.9540860003563285,-5.899893553737461,-69.4557173992745,0.0
41,42,0,7.197154639398393,-6.05971855225981,-70.6733890245958,0.0
42,43,0,6.512254821118769,-6.221217737312997,-71.67924412532187,0.0
43,44,0,5.892531837933338,-6.383510359068024,-72.44515364158529,0.0
44,45,0,5.331783293930289,-6.5456207664530055,-73.02361675039751,0.0
45,46,0,4.824397029207146,-6.706802818125535,-73.4737385743675,0.0
46,47,0,4.365294951488148,-6.866561716060494,-73.83472327281139,0.0
47,48,1,3.9498822128699453,-7.02456937483053,-74.12924127703249,0.0
48,49,0,11.761308753819222,-7.180594952442049,-66.18379304120529,0.0
49,50,0,10.642072245529516,-7.301718225558029,-64.06831259641639,0.0
50,51,0,9.629345173197073,-7.411957111432534,-63.28886502165814,0.0
51,52,0,8.712991823892668,-7.516873429290516,-63.38902376543709,0.0
52,53,0,7.883841025299468,-7.620092055766454,-64.20669478062659,0.0
53,54,0,7.133594357537944,-7.724516993773632,-65.58649608435347,0.0
54,55,0,6.454743099790523,-7.832372638235573,-67.27617766764014,0.0
55,56,1,5.840493080499883,-7.944829896141422,-68.94083702439008,0.0
56,57,0,13.47200420979622,-8.061696646316154,-62.114627655462286,0.0
57,58,0,12.189973504961591,-8.14892122401168,-58.10701703042718,0.0
58,59,0,11.029944152156201,-8.218370867653155,-54.406219679421014,0.0
59,60,0,9.980306187717849,-8.271628329017776,-49.83717142893835,0.0
60,61,0,9.030554482102929,-8.305544448153174,-42.37109952101383,0.0
61,62,0,8.171183601019077,-8.308917957274167,-25.93746609212441,0.0
62,63,0,7.393592671843875,-8.24648946249718,26.987799967575747,0.0
63,64,0,6.689999303200804,-7.973608473376934,345.99694245474774,1.0
64,65,0,6.053361696170584,-0.234136303909395,-74.97302983045248,0.0
65,66,0,5.477308167600768,-0.529345697153017,-79.28852643288798,0.0
66,67,1,4.956073380159152,-0.8359128889415086,-78.77892256406469,0.0
67,68,0,12.671748171679775,-1.1343103214189372,-70.92112870957085,0.0
68,69,0,11.46587189766462,-1.395308629828842,-71.73433014076093,0.0
69,70,0,10.374749923413923,-1.6543397777953088,-72.8033574615755,0.0
70,71,0,9.387461933470624,-1.9124664120857047,-73.76518875106943,0.0
71,72,0,8.494126817792417,-2.1692778388482683,-74.53241641730246,0.0
72,73,1,7.685803778281292,-2.424021947740513,-75.13617300659809,0.0
73,74,0,15.141710377050885,-2.676086200812095,-67.43352595169956,0.0
74,75,0,13.70078612221902,-2.8922985806026515,-66.33306649602468,0.0
75,76,0,12.396983939891564,-3.0997848749746972,-66.70608802501259,0.0
76,77,0,11.21725493960474,-3.3046135295752537,-67.931401151467,0.0
77,78,0,10.149791997003065,-3.5102468635896167,-69.54699088616242,0.0
78,79,0,9.183911584170302,-3.718229889862474,-71.11642921641625,0.0
79,80,0,8.309946845291194,-3.9283310089308894,-72.36853838360209,0.0
80,81,0,7.519150847509351,-4.13923854228668,-73.27553453401671,0.0
81,82,0,6.803609038683258,-4.349555909577013,-73.93820117329533,0.0
82,83,0,6.156160035888276,-4.558317596078655,-74.44918738459909,0.0
83,84,0,5.570323951889309,-4.764947993695478,-74.85922267054063,0.0
84,85,0,5.0402375422513845,-4.969085924503731,-75.19402173379355,0.0
85,86,0,4.5605955240186535,-5.170480292948831,-75.46881277415024,0.0
86,87,0,4.126597478659393,-5.368945938186456,-75.69413081170352,0.0
87,88,0,3.733899807863865,-5.5643435426695405,-75.87788155059944,0.0
88,89,0,3.378572261352506,-5.756568198018547,-76.02625715530262,0.0
89,90,0,3.0570586016101142,-5.945541862679387,-76.14424505041893,0.0
90,91,0,2.766141011865517,-6.131208005627475,-76.23594525603876,0.0
91,92,0,2.5029078910997713,-6.313527626539081,-76.30478167623575,0.0
92,93,0,2.2647247137645454,-6.492476200713242,-76.35364945079073,0.0
93,94,0,2.049207662564939,-6.668041274502141,-76.38502146329678,0.0
94,95,0,1.8541997704147635,-6.840220534865285,-76.40102757693136,0.0
95,96,0,1.6777493327849635,-7.009020234475704,-76.40351500149686,0.0
96,97,0,1.5180903743887004,-7.1744538897921775,-76.39409521675856,0.0
97,98,0,1.3736249747071148,-7.336541192863368,-76.37418107656514,0.0
98,99,0,1.2429072754636958,-7.495307093312362,-76.34501658642536,0.0
99,100,0,1.12462900998868,-7.650781017791816,-76.30770111198856,0.0
